VEN_DIR;DT_MEDICAO;DC_NOME;CHUVA;PRE_INS;VL_LATITUDE;PRE_MIN;UMD_MAX;PRE_MAX;VEN_VEL;UF;PTO_MIN;TEM_MAX;RAD_GLO;PTO_INS;VEN_RAJ;TEM_INS;UMD_INS;CD_ESTACAO;TEM_MIN;VL_LONGITUDE;HR_MEDICAO;UMD_MIN;PTO_MAX
100;2020-07-27;CACHOEIRA PAULISTA;0;955.9;-22.689001;955.6;73;955.9;0.3;SP;10.8;19.7;-3.6;12.5;3.3;18;71;A769;16.6;-45.005444;0000;64;13.4
58;2020-07-27;CACHOEIRA PAULISTA;0;956.2;-22.689001;955.9;77;956.3;1.3;SP;12;18.9;-3.6;13.8;3.3;17.9;77;A769;16.8;-45.005444;0100;70;13.8
61;2020-07-27;CACHOEIRA PAULISTA;0;956.2;-22.689001;956.1;84;956.3;2;SP;11;18.1;-3.6;13.4;4.4;16.3;83;A769;14.6;-45.005444;0200;76;14
123;2020-07-27;CACHOEIRA PAULISTA;0;956.2;-22.689001;956.2;90;956.3;0.6;SP;11.3;16.4;-3.181;12.9;4.4;15.2;86;A769;13.9;-45.005444;0300;81;14.7
159;2020-07-27;CACHOEIRA PAULISTA;0;955.9;-22.689001;955.9;88;956.2;0.9;SP;12.6;17.2;-1.431;13;3;15.2;87;A769;14.9;-45.005444;0400;84;14.8
156;2020-07-27;CACHOEIRA PAULISTA;0;955.5;-22.689001;955.5;89;955.9;1.1;SP;13;16.5;-3.213;13;3;14.9;89;A769;14.9;-45.005444;0500;86;14.4
106;2020-07-27;CACHOEIRA PAULISTA;0;955.1;-22.689001;955.1;92;955.5;0;SP;12.4;15.2;-3.6;13.1;2;14.5;91;A769;13.9;-45.005444;0600;88;13.5
149;2020-07-27;CACHOEIRA PAULISTA;0;954.9;-22.689001;954.9;93;955.1;0.7;SP;11.8;14.4;-3.568;11.8;2.3;13.2;92;A769;13.2;-45.005444;0700;90;12.8
170;2020-07-27;CACHOEIRA PAULISTA;0;955.1;-22.689001;954.9;94;955.1;1.1;SP;11.1;13.7;-3.532;11.2;2;12.3;93;A769;12.3;-45.005444;0800;92;12.6
171;2020-07-27;CACHOEIRA PAULISTA;0;955.4;-22.689001;955.1;95;955.4;2.1;SP;10.8;13;-3.537;11.1;2.5;11.8;95;A769;11.6;-45.005444;0900;93;12.2
156;2020-07-27;CACHOEIRA PAULISTA;0;955.7;-22.689001;955.4;96;955.7;0.7;SP;11;12.3;21.137;11.2;2.5;11.8;96;A769;11.6;-45.005444;1000;95;11.7
173;2020-07-27;CACHOEIRA PAULISTA;0;955.9;-22.689001;955.7;97;955.9;1.4;SP;11.2;14;323.967;13.4;2.3;14;97;A769;11.8;-45.005444;1100;96;13.4
300;2020-07-27;CACHOEIRA PAULISTA;0;956.1;-22.689001;955.9;97;956.1;0.4;SP;13.1;17.6;1097.639;16.1;2.1;17.6;91;A769;13.8;-45.005444;1200;90;16.3
35;2020-07-27;CACHOEIRA PAULISTA;0;955.7;-22.689001;955.7;91;956.1;3.6;SP;16.2;22.5;1837.215;18.3;7.2;22.4;77;A769;17.6;-45.005444;1300;77;18.5
31;2020-07-27;CACHOEIRA PAULISTA;0;954.8;-22.689001;954.8;78;955.7;2.8;SP;17.4;24.6;2344.164;18;6.2;24.3;68;A769;21.8;-45.005444;1400;67;18.8
67;2020-07-27;CACHOEIRA PAULISTA;0;953.7;-22.689001;953.7;68;954.8;2.5;SP;16.6;25.6;2625.477;16.6;6.5;25.4;59;A769;23.8;-45.005444;1500;59;18.4
59;2020-07-27;CACHOEIRA PAULISTA;0;952.5;-22.689001;952.5;59;953.7;1.5;SP;15.3;27.5;2657.665;15.6;7.3;27.2;49;A769;25.2;-45.005444;1600;49;17
60;2020-07-27;CACHOEIRA PAULISTA;0;951.3;-22.689001;951.3;49;952.5;3.2;SP;13.9;28.2;2438.277;14.5;5.6;28.2;43;A769;26.5;-45.005444;1700;43;15.8
40;2020-07-27;CACHOEIRA PAULISTA;0;950.9;-22.689001;950.8;43;951.3;3.1;SP;13.2;28.7;1999.472;13.4;6.6;27.7;41;A769;27.6;-45.005444;1800;41;14.7
69;2020-07-27;CACHOEIRA PAULISTA;0;950.9;-22.689001;950.8;43;950.9;2.4;SP;13.3;28.1;1371.113;13.7;5.9;27.3;43;A769;27.2;-45.005444;1900;41;14.1
62;2020-07-27;CACHOEIRA PAULISTA;0;951.1;-22.689001;950.9;48;951.1;2.5;SP;13.4;27.4;635.644;13.9;5.2;25.7;48;A769;25.7;-45.005444;2000;43;14
61;2020-07-27;CACHOEIRA PAULISTA;0;951.6;-22.689001;951.1;54;951.6;0;SP;13.8;25.8;62.092;14;5.3;23.8;54;A769;23.8;-45.005444;2100;48;14.2
85;2020-07-27;CACHOEIRA PAULISTA;0;952.2;-22.689001;951.6;61;952.2;0;SP;13.5;23.8;-3.6;13.6;2.4;21.5;61;A769;21.5;-45.005444;2200;54;14.5
68;2020-07-27;CACHOEIRA PAULISTA;0;952.6;-22.689001;952.2;67;952.6;0;SP;13.5;22.1;-3.6;14.8;1.3;21.4;66;A769;20.5;-45.005444;2300;61;14.9
