Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2020/01/01;0000 UTC;0;958,4;958,4;957,8;;30,6;17,4;31;30,4;17,4;16,3;45;41;45;326;3,9;,6;
2020/01/01;0100 UTC;0;959,2;959,2;958,4;;29,1;18,3;30,6;29;18,4;17,4;53;45;52;326;5,3;1,4;
2020/01/01;0200 UTC;0;959,5;959,5;959,2;;28;18,4;29,1;28;18,5;18,3;56;52;56;326;4,6;,7;
2020/01/01;0300 UTC;0;959,2;959,5;959,1;;27,2;17,9;28;27,1;18,4;17,7;58;55;57;326;3,1;,8;
2020/01/01;0400 UTC;0;958,8;959,2;958,8;;26,4;17,8;27,2;26,4;18,1;17,7;60;56;59;326;3,1;,9;
2020/01/01;0500 UTC;0;958,5;959;958,5;;25,8;18,2;26,6;25,7;18,2;17,8;63;59;63;326;3,4;1,1;
2020/01/01;0600 UTC;0;958,1;958,5;958,1;;25,9;18,3;25,9;25,3;18,5;18,1;65;63;63;326;2,6;,5;
2020/01/01;0700 UTC;0;958,1;958,1;958,1;;26,1;18,2;26,2;25,3;18,5;18,2;65;61;62;326;2,7;1,2;
2020/01/01;0800 UTC;0;958,3;958,3;958,1;;25,8;18,6;26,1;25,7;18,7;18,2;65;62;64;326;2,7;,8;
2020/01/01;0900 UTC;0;959;959;958,3;5,7;24,5;18,8;25,8;24,5;18,9;18,5;71;64;71;326;3,4;,7;
2020/01/01;1000 UTC;0;959,3;959,3;958,9;116,4;25,2;19,2;25,2;24,5;19,2;18,8;71;69;69;326;2,5;,3;
2020/01/01;1100 UTC;0;959,7;959,7;959,3;412,9;27,2;19,4;27,2;25,2;19,8;18,8;70;62;63;326;2,3;,2;
2020/01/01;1200 UTC;0;959,7;959,7;959,6;675,6;29,5;19,1;29,5;27,2;20;18,9;64;54;54;326;2,3;,4;
2020/01/01;1300 UTC;0;959,3;959,7;959,3;1379,2;31,3;18,6;31,5;29,2;19,9;18,4;55;46;47;326;2,6;,7;
2020/01/01;1400 UTC;0;958,9;959,3;958,9;2466,3;32,4;17,4;33;30,9;19,6;16,9;48;40;41;326;3,9;1,9;
2020/01/01;1500 UTC;0;958,5;958,9;958,5;3597,8;33,9;17,2;34,6;32,2;18,9;15,1;43;33;37;326;4,8;1,7;
2020/01/01;1600 UTC;0;957,4;958,5;957,4;3041,7;34,2;16,3;36,1;33,5;19,1;15,6;39;31;34;326;6,5;2,5;
2020/01/01;1700 UTC;0;956,3;957,4;956,3;2838,1;34,1;17,1;35,5;33,9;18,2;15,8;38;32;37;326;11,1;3,9;
2020/01/01;1800 UTC;3,6;957,1;957,3;956,3;244,4;25;20,7;34,1;23,6;22,9;16,2;93;37;77;326;19,1;1,9;
2020/01/01;1900 UTC;0;955,8;957,1;955,8;647,9;26,4;20;26,6;25;21,1;19,6;78;66;68;326;5,3;1,6;
2020/01/01;2000 UTC;0;955,8;955,8;955,3;514,8;27,7;20,3;27,7;26,4;21,3;20,1;72;64;64;326;4,1;0;
2020/01/01;2100 UTC;0;956,5;956,5;955,8;143,6;27,1;19,6;27,8;27;20,2;19,5;66;62;64;326;4,8;,7;
2020/01/01;2200 UTC;6;957,4;957,8;956,5;20,4;22,3;22,3;27,4;22,3;22,3;19,3;100;64;100;326;7,6;2,9;
2020/01/01;2300 UTC;3;957,1;957,5;956,9;;23;23;23;22,1;;;;;100;326;6,7;1,3;
2020/01/02;0000 UTC;0;958,1;958,1;957,1;;23,4;23,4;23,5;22,9;23,4;22,9;100;98;100;326;3;,7;
2020/01/02;0100 UTC;0;959;959;958,1;1,1;23,7;23,6;24;23,4;23,8;23,4;100;98;100;326;2,1;,3;
2020/01/02;0200 UTC;0;958,8;959,2;958,8;;24,1;24;24,1;23,6;24;23,6;100;100;100;326;1,5;,1;
2020/01/02;0300 UTC;0;958,7;958,8;958,7;;24,1;24,1;24,2;23,9;24,2;23,9;100;99;100;326;1,7;,2;
2020/01/02;0400 UTC;0;957,9;958,7;957,9;;23,6;23,6;24,2;23,6;24,2;23,6;100;97;100;326;2,4;0;
2020/01/02;0500 UTC;0;958,1;958,1;957,8;;23,6;23,3;23,8;23,3;23,8;23,3;100;98;99;326;5,1;1,6;
2020/01/02;0600 UTC;0;957,9;958,1;957,8;;23,8;23,3;23,9;23,6;23,5;23,3;99;97;97;326;4,9;1,5;
